8127;Fejér;Aba
4962;Szabolcs-Szatmár-Bereg;Nagyszekeres
5931;Békés;Nagyszénás
9072;Győr-Moson-Sopron;Nagyszentjános
7097;Tolna;Nagyszokoly
3398;Heves;Nagytálya
2142;Pest;Nagytarcsa
8562;Veszprém;Nagytevel
9832;Vas;Nagytilaj
6612;Csongrád;Nagytőke
7800;Baranya;Nagytótfalu
3357;Heves;Nagyút
4812;Szabolcs-Szatmár-Bereg;Nagyvarsány
7912;Baranya;Nagyváty
8291;Veszprém;Nagyvázsony
7186;Tolna;Nagyvejke
8065;Fejér;Nagyveleg
2421;Fejér;Nagyvenyim
3349;Heves;Nagyvisnyó
7215;Tolna;Nak
4552;Szabolcs-Szatmár-Bereg;Napkor
9797;Vas;Nárai
9793;Vas;Narda
2899;Komárom-Esztergom;Naszály
3463;Borsod-Abaúj-Zemplén;Négyes
3646;Borsod-Abaúj-Zemplén;Nekézseny
8923;Zala;Nemesapáti
3592;Borsod-Abaúj-Zemplén;Nemesbikk
9749;Vas;Nemesbőd
4942;Szabolcs-Szatmár-Bereg;Nemesborzova
8371;Zala;Nemesbük
9739;Vas;Nemescsó
8722;Somogy;Nemesdéd
8522;Veszprém;Nemesgörzsöny
8284;Veszprém;Nemesgulács
8471;Veszprém;Nemeshany
8925;Zala;Nemeshetés
7981;Baranya;Nemeske
9471;Győr-Moson-Sopron;Nemeskér
9548;Vas;Nemeskeresztúr
8717;Somogy;Nemeskisfalud
9542;Vas;Nemeskocs
9775;Vas;Nemeskolta
9663;Vas;Nemesládony
9953;Vas;Nemesmedves
6345;Bács-Kiskun;Nemesnádudvar
8976;Zala;Nemesnép
8856;Zala;Nemespátró
8915;Zala;Nemesrádó
9782;Vas;Nemesrempehollós
8925;Zala;Nemessándorháza
9533;Veszprém;Nemesszalók
8925;Zala;Nemesszentandrás
8248;Veszprém;Nemesvámos
8738;Somogy;Nemesvid
8311;Veszprém;Nemesvita
8581;Veszprém;Németbánya
8918;Zala;Németfalu
7039;Tolna;Németkér
3152;Nógrád;Nemti
2544;Komárom-Esztergom;Neszmély
2618;Nógrád;Nézsa
9652;Vas;Nick
8706;Somogy;Nikla
2642;Nógrád;Nógrád
2691;Nógrád;Nógrádkövesd
2675;Nógrád;Nógrádmarcal
3132;Nógrád;Nógrádmegyer
2685;Nógrád;Nógrádsáp
3179;Nógrád;Nógrádsipek
3187;Nógrád;Nógrádszakál
8591;Veszprém;Nóráp
8456;Veszprém;Noszlop
3325;Heves;Noszvaj
2610;Nógrád;Nőtincs
8948;Zala;Nova
3327;Heves;Novaj
3872;Borsod-Abaúj-Zemplén;Novajidrány
9096;Győr-Moson-Sopron;Nyalka
8512;Veszprém;Nyárád
2723;Pest;Nyáregyháza
6032;Bács-Kiskun;Nyárlőrinc
2712;Pest;Nyársapát
3433;Borsod-Abaúj-Zemplén;Nyékládháza
2536;Komárom-Esztergom;Nyergesújfalu
2537;Komárom-Esztergom;Nyergesújfalu
3809;Borsod-Abaúj-Zemplén;Nyésta
8612;Somogy;Nyim
4264;Hajdú-Bihar;Nyírábrány
4262;Hajdú-Bihar;Nyíracsád
8454;Veszprém;Nyirád
4252;Hajdú-Bihar;Nyíradony
4253;Hajdú-Bihar;Nyíradony
4254;Hajdú-Bihar;Nyíradony
4300;Szabolcs-Szatmár-Bereg;Nyírbátor
4372;Szabolcs-Szatmár-Bereg;Nyírbéltek
4361;Szabolcs-Szatmár-Bereg;Nyírbogát
4511;Szabolcs-Szatmár-Bereg;Nyírbogdány
4356;Szabolcs-Szatmár-Bereg;Nyírcsaholy
4331;Szabolcs-Szatmár-Bereg;Nyírcsászári
4332;Szabolcs-Szatmár-Bereg;Nyírderzs
4246;Szabolcs-Szatmár-Bereg;Nyíregyháza
4400;Szabolcs-Szatmár-Bereg;Nyíregyháza
4405;Szabolcs-Szatmár-Bereg;Nyíregyháza
4412;Szabolcs-Szatmár-Bereg;Nyíregyháza
4431;Szabolcs-Szatmár-Bereg;Nyíregyháza
4432;Szabolcs-Szatmár-Bereg;Nyíregyháza
4433;Szabolcs-Szatmár-Bereg;Nyíregyháza
4481;Szabolcs-Szatmár-Bereg;Nyíregyháza
4551;Szabolcs-Szatmár-Bereg;Nyíregyháza
4362;Szabolcs-Szatmár-Bereg;Nyírgelse
4311;Szabolcs-Szatmár-Bereg;Nyírgyulaj
3997;Borsod-Abaúj-Zemplén;Nyíri
4535;Szabolcs-Szatmár-Bereg;Nyíribrony
4541;Szabolcs-Szatmár-Bereg;Nyírjákó
4544;Szabolcs-Szatmár-Bereg;Nyírkarász
4333;Szabolcs-Szatmár-Bereg;Nyírkáta
4537;Szabolcs-Szatmár-Bereg;Nyírkércs
4632;Szabolcs-Szatmár-Bereg;Nyírlövő
4371;Szabolcs-Szatmár-Bereg;Nyírlugos
4564;Szabolcs-Szatmár-Bereg;Nyírmada
4263;Hajdú-Bihar;Nyírmártonfalva
4722;Szabolcs-Szatmár-Bereg;Nyírmeggyes
4363;Szabolcs-Szatmár-Bereg;Nyírmihálydi
4822;Szabolcs-Szatmár-Bereg;Nyírparasznya
4531;Szabolcs-Szatmár-Bereg;Nyírpazony
4376;Szabolcs-Szatmár-Bereg;Nyírpilis
4522;Szabolcs-Szatmár-Bereg;Nyírtass
4461;Szabolcs-Szatmár-Bereg;Nyírtelek
4554;Szabolcs-Szatmár-Bereg;Nyírtét
4532;Szabolcs-Szatmár-Bereg;Nyírtura
4341;Szabolcs-Szatmár-Bereg;Nyírvasvári
9682;Vas;Nyőgér
3795;Borsod-Abaúj-Zemplén;Nyomár
7912;Baranya;Nyugotszenterzsébet
9082;Győr-Moson-Sopron;Nyúl
7695;Baranya;Óbánya
2063;Fejér;Óbarok
8272;Veszprém;Óbudavár
8292;Veszprém;Öcs
2364;Pest;Ócsa
7814;Baranya;Ócsárd
7143;Tolna;Őcsény
5451;Jász-Nagykun-Szolnok;Öcsöd
7695;Baranya;Ófalu
4558;Szabolcs-Szatmár-Bereg;Ófehértó
6923;Csongrád;Óföldeák
8342;Zala;Óhid
5534;Békés;Okány
7957;Baranya;Okorág
4755;Szabolcs-Szatmár-Bereg;Ököritófülpös
7681;Baranya;Okorvölgy
7745;Baranya;Olasz
9824;Vas;Olaszfa
8414;Veszprém;Olaszfalu
3933;Borsod-Abaúj-Zemplén;Olaszliszka
9621;Vas;Ölbő
4826;Szabolcs-Szatmár-Bereg;Olcsva
4914;Szabolcs-Szatmár-Bereg;Olcsvaapáti
7824;Baranya;Old
9733;Vas;Ólmod
8886;Zala;Oltárc
4373;Szabolcs-Szatmár-Bereg;Ömböly
3562;Borsod-Abaúj-Zemplén;Onga
3551;Borsod-Abaúj-Zemplén;Ónod
4821;Szabolcs-Szatmár-Bereg;Ópályi
6767;Csongrád;Ópusztaszer
4336;Szabolcs-Szatmár-Bereg;Őr
8935;Zala;Orbányosfa
2162;Pest;Őrbottyán
7400;Somogy;Orci
8635;Somogy;Ordacsehi
6335;Bács-Kiskun;Ordas
6311;Bács-Kiskun;Öregcsertő
8697;Somogy;Öreglak
9982;Vas;Orfalu
7677;Baranya;Orfű
6077;Bács-Kiskun;Orgovány
2671;Nógrád;Őrhalom
9933;Vas;Őrimagyarósd
9941;Vas;Őriszentpéter
2377;Pest;Örkény
8983;Zala;Ormándlak
5222;Jász-Nagykun-Szolnok;Örményes
5556;Békés;Örménykút
3743;Borsod-Abaúj-Zemplén;Ormosbánya
5900;Békés;Orosháza
5903;Békés;Orosháza
5904;Békés;Orosháza
5905;Békés;Orosháza
8458;Veszprém;Oroszi
2840;Komárom-Esztergom;Oroszlány
7370;Baranya;Oroszló
8744;Zala;Orosztony
8954;Zala;Ortaháza
8854;Somogy;Őrtilos
8242;Veszprém;Örvényes
2610;Nógrád;Ősagárd
8161;Veszprém;Ősi
8191;Veszprém;Öskü
9354;Győr-Moson-Sopron;Osli
9512;Vas;Ostffyasszonyfa
3326;Heves;Ostoros
9825;Vas;Oszkó
3591;Borsod-Abaúj-Zemplén;Oszlár
7444;Somogy;Osztopán
9153;Győr-Moson-Sopron;Öttevény
6784;Csongrád;Öttömös
7511;Somogy;Ötvöskónyi
3600;Borsod-Abaúj-Zemplén;Ózd
3603;Borsod-Abaúj-Zemplén;Ózd
3604;Borsod-Abaúj-Zemplén;Ózd
3621;Borsod-Abaúj-Zemplén;Ózd
3625;Borsod-Abaúj-Zemplén;Ózd
3651;Borsod-Abaúj-Zemplén;Ózd
3661;Borsod-Abaúj-Zemplén;Ózd
3662;Borsod-Abaúj-Zemplén;Ózd
7836;Baranya;Ózdfalu
8998;Zala;Ozmánbük
7086;Tolna;Ozora
3964;Borsod-Abaúj-Zemplén;Pácin
8761;Zala;Pacsa
9823;Vas;Pácsony
8935;Zala;Padár
6075;Bács-Kiskun;Páhi
8956;Zala;Páka
8799;Zala;Pakod
8095;Fejér;Pákozd
7027;Tolna;Paks
7030;Tolna;Paks
7370;Baranya;Palé
7042;Tolna;Pálfa
8990;Zala;Pálfiszeg
3994;Borsod-Abaúj-Zemplén;Pálháza
9345;Győr-Moson-Sopron;Páli
7771;Baranya;Palkonya
7561;Somogy;Pálmajor
6112;Bács-Kiskun;Pálmonostora
7727;Baranya;Palotabozsok
3042;Nógrád;Palotás
8229;Veszprém;Paloznak
3821;Borsod-Abaúj-Zemplén;Pamlény
8698;Somogy;Pamuk
2214;Pest;Pánd
9937;Vas;Pankasz
9090;Győr-Moson-Sopron;Pannonhalma
3898;Borsod-Abaúj-Zemplén;Pányok
4913;Szabolcs-Szatmár-Bereg;Panyola
4631;Szabolcs-Szatmár-Bereg;Pap
8500;Veszprém;Pápa
8511;Veszprém;Pápa
8591;Veszprém;Pápa
8598;Veszprém;Pápa
8593;Veszprém;Pápadereske
8596;Veszprém;Pápakovácsi
8594;Veszprém;Pápasalamon
8556;Veszprém;Pápateszér
8183;Veszprém;Papkeszi
9515;Vas;Pápoc
4338;Szabolcs-Szatmár-Bereg;Papos
7838;Baranya;Páprád
3240;Heves;Parád
3244;Heves;Parád
3242;Heves;Parádsasvár
3777;Borsod-Abaúj-Zemplén;Parasznya
4475;Szabolcs-Szatmár-Bereg;Paszab
3060;Nógrád;Pásztó
3065;Nógrád;Pásztó
3082;Nógrád;Pásztó
9311;Győr-Moson-Sopron;Pásztori
8825;Zala;Pat
2648;Nógrád;Patak
7463;Somogy;Patalom
7923;Baranya;Patapoklosi
7477;Somogy;Patca
8092;Fejér;Pátka
7536;Somogy;Patosfa
4523;Szabolcs-Szatmár-Bereg;Pátroha
2668;Nógrád;Patvarc
2071;Pest;Páty
4766;Szabolcs-Szatmár-Bereg;Pátyod
2476;Fejér;Pázmánd
9085;Győr-Moson-Sopron;Pázmándfalu
2119;Pest;Pécel
9754;Vas;Pecöl
7600;Baranya;Pécs
7621;Baranya;Pécs
7622;Baranya;Pécs
7623;Baranya;Pécs
7624;Baranya;Pécs
7625;Baranya;Pécs
7626;Baranya;Pécs
7627;Baranya;Pécs
7628;Baranya;Pécs
7629;Baranya;Pécs
7630;Baranya;Pécs
7631;Baranya;Pécs
7632;Baranya;Pécs
7633;Baranya;Pécs
7634;Baranya;Pécs
7635;Baranya;Pécs
7636;Baranya;Pécs
7691;Baranya;Pécs
7693;Baranya;Pécs
7951;Baranya;Pécsbagota
7766;Baranya;Pécsdevecser
8245;Veszprém;Pécsely
7762;Baranya;Pécsudvard
7720;Baranya;Pécsvárad
7831;Baranya;Pellérd
3381;Heves;Pély
2614;Pest;Penc
4267;Szabolcs-Szatmár-Bereg;Penészlek
4941;Szabolcs-Szatmár-Bereg;Penyige
8426;Veszprém;Pénzesgyőr
9099;Győr-Moson-Sopron;Pér
2074;Pest;Perbál
3853;Borsod-Abaúj-Zemplén;Pere
3821;Borsod-Abaúj-Zemplén;Perecse
7664;Baranya;Pereked
9722;Vas;Perenye
9734;Vas;Peresznye
9484;Győr-Moson-Sopron;Pereszteg
2431;Fejér;Perkáta
3756;Borsod-Abaúj-Zemplén;Perkupa
2637;Pest;Perőcsény
7766;Baranya;Peterd
7582;Somogy;Péterhida
2209;Pest;Péteri
3250;Heves;Pétervására
8105;Veszprém;Pétfürdő
8921;Zala;Pethőhenye
4542;Szabolcs-Szatmár-Bereg;Petneháza
3023;Heves;Petőfibánya
6113;Bács-Kiskun;Petőfiszállás
9443;Győr-Moson-Sopron;Petőháza
9826;Vas;Petőmihályfa
8984;Zala;Petrikeresztúr
8866;Zala;Petrivente
7980;Baranya;Pettend
3134;Nógrád;Piliny
2721;Pest;Pilis
2097;Pest;Pilisborosjenő
2081;Pest;Piliscsaba
2087;Pest;Piliscsaba
2519;Komárom-Esztergom;Piliscsév
2080;Pest;Pilisjászfalu
2028;Komárom-Esztergom;Pilismarót
2095;Pest;Pilisszántó
2084;Pest;Pilisszentiván
2098;Pest;Pilisszentkereszt
2099;Pest;Pilisszentkereszt
2009;Pest;Pilisszentlászló
2085;Pest;Pilisvörösvár
7084;Tolna;Pincehely
9922;Vas;Pinkamindszent
9481;Győr-Moson-Sopron;Pinnye
4375;Szabolcs-Szatmár-Bereg;Piricse
6414;Bács-Kiskun;Pirtó
7838;Baranya;Piskó
6914;Csongrád;Pitvaros
7756;Baranya;Pócsa
4125;Hajdú-Bihar;Pocsaj
2017;Pest;Pócsmegyer
4327;Szabolcs-Szatmár-Bereg;Pócspetri
7666;Baranya;Pogány
8728;Somogy;Pogányszentpéter
8932;Zala;Pókaszepetk
7458;Somogy;Polány
4090;Hajdú-Bihar;Polgár
8153;Fejér;Polgárdi
8154;Fejér;Polgárdi
8155;Fejér;Polgárdi
8929;Zala;Pölöske
8773;Zala;Pölöskefő
2013;Pest;Pomáz
7142;Tolna;Pörböly
4761;Szabolcs-Szatmár-Bereg;Porcsalma
8956;Zala;Pördefölde
9796;Vas;Pornóapáti
3388;Heves;Poroszló
9612;Vas;Porpác
8858;Somogy;Porrog
8858;Somogy;Porrogszentkirály
8858;Somogy;Porrogszentpál
8986;Zala;Pórszombat
8429;Veszprém;Porva
9636;Vas;Pósfa
7977;Somogy;Potony
8767;Zala;Pötréte
9324;Győr-Moson-Sopron;Potyond
3925;Borsod-Abaúj-Zemplén;Prügy
8291;Veszprém;Pula
9235;Győr-Moson-Sopron;Püski
2682;Pest;Püspökhatvan
4150;Hajdú-Bihar;Püspökladány
9776;Vas;Püspökmolnári
2166;Pest;Püspökszilágy
8986;Zala;Pusztaapáti
2658;Nógrád;Pusztaberki
9373;Győr-Moson-Sopron;Pusztacsalád
9739;Vas;Pusztacsó
4565;Szabolcs-Szatmár-Bereg;Pusztadobos
8946;Zala;Pusztaederics
3995;Borsod-Abaúj-Zemplén;Pusztafalu
5919;Békés;Pusztaföldvár
7038;Tolna;Pusztahencse
8707;Somogy;Pusztakovácsi
8895;Zala;Pusztamagyaród
6785;Csongrád;Pusztamérges
8455;Veszprém;Pusztamiske
5125;Jász-Nagykun-Szolnok;Pusztamonostor
5665;Békés;Pusztaottlaka
3874;Borsod-Abaúj-Zemplén;Pusztaradvány
2490;Fejér;Pusztaszabolcs
8619;Somogy;Pusztaszemes
8896;Zala;Pusztaszentlászló
6769;Csongrád;Pusztaszer
2378;Pest;Pusztavacs
8066;Fejér;Pusztavám
2039;Pest;Pusztazámor
3630;Borsod-Abaúj-Zemplén;Putnok
9313;Győr-Moson-Sopron;Rábacsanak
9136;Győr-Moson-Sopron;Rábacsécsény
9961;Vas;Rábagyarmat
9777;Vas;Rábahidvég
9344;Győr-Moson-Sopron;Rábakecöl
9142;Győr-Moson-Sopron;Rábapatona
9641;Vas;Rábapaty
9146;Győr-Moson-Sopron;Rábapordány
9327;Győr-Moson-Sopron;Rábasebes
9316;Győr-Moson-Sopron;Rábaszentandrás
9135;Győr-Moson-Sopron;Rábaszentmihály
9133;Győr-Moson-Sopron;Rábaszentmiklós
9322;Győr-Moson-Sopron;Rábatamási
9766;Vas;Rábatöttös
9165;Győr-Moson-Sopron;Rábcakapi
2459;Fejér;Rácalmás
2465;Fejér;Ráckeresztúr
2300;Pest;Ráckeve
2613;Pest;Rád
7817;Baranya;Rádfalva
9784;Vas;Rádóckölked
3776;Borsod-Abaúj-Zemplén;Radostyán
3724;Borsod-Abaúj-Zemplén;Ragály
9224;Győr-Moson-Sopron;Rajka
3825;Borsod-Abaúj-Zemplén;Rakaca
3826;Borsod-Abaúj-Zemplén;Rakacaszend
4465;Szabolcs-Szatmár-Bereg;Rakamaz
3151;Nógrád;Rákóczibánya
5085;Jász-Nagykun-Szolnok;Rákóczifalva
5084;Jász-Nagykun-Szolnok;Rákócziújfalu
7464;Somogy;Ráksi
8973;Zala;Ramocsa
4536;Szabolcs-Szatmár-Bereg;Ramocsaháza
4756;Szabolcs-Szatmár-Bereg;Rápolt
8300;Veszprém;Raposka
3833;Borsod-Abaúj-Zemplén;Rásonysápberencs
3908;Borsod-Abaúj-Zemplén;Rátka
9951;Vas;Rátót
9091;Győr-Moson-Sopron;Ravazd
3245;Heves;Recsk
2886;Komárom-Esztergom;Réde
8978;Zala;Rédics
3893;Borsod-Abaúj-Zemplén;Regéc
7833;Baranya;Regenye
7193;Tolna;Regöly
6446;Bács-Kiskun;Rém
2090;Pest;Remeteszőlős
3559;Borsod-Abaúj-Zemplén;Répáshuta
9653;Vas;Répcelak
9375;Győr-Moson-Sopron;Répceszemere
9623;Vas;Répceszentgyörgy
9475;Győr-Moson-Sopron;Répcevis
8977;Zala;Resznek
9074;Győr-Moson-Sopron;Rétalap
4525;Szabolcs-Szatmár-Bereg;Rétközberencs
2651;Nógrád;Rétság
8253;Veszprém;Révfülöp
3976;Borsod-Abaúj-Zemplén;Révleányvár
8373;Zala;Rezi
3974;Borsod-Abaúj-Zemplén;Ricse
8348;Veszprém;Rigács
8883;Zala;Rigyác
3177;Nógrád;Rimóc
7552;Somogy;Rinyabesenyő
7527;Somogy;Rinyakovácsi
7513;Somogy;Rinyaszentkirály
7556;Somogy;Rinyaújlak
7584;Somogy;Rinyaújnép
4563;Szabolcs-Szatmár-Bereg;Rohod
9451;Győr-Moson-Sopron;Röjtökmuzsaj
8434;Győr-Moson-Sopron;Románd
2654;Nógrád;Romhány
7743;Baranya;Romonya
9954;Vas;Rönök
6758;Csongrád;Röszke
7914;Baranya;Rózsafa
4971;Szabolcs-Szatmár-Bereg;Rozsály
3033;Heves;Rózsaszentmárton
3733;Borsod-Abaúj-Zemplén;Rudabánya
3742;Borsod-Abaúj-Zemplén;Rudolftelep
9766;Vas;Rum
6786;Csongrád;Ruzsa
3162;Nógrád;Ságújfalu
8654;Somogy;Ságvár
3792;Borsod-Abaúj-Zemplén;Sajóbábony
3793;Borsod-Abaúj-Zemplén;Sajóecseg
3636;Borsod-Abaúj-Zemplén;Sajógalgóc
3576;Borsod-Abaúj-Zemplén;Sajóhidvég
3720;Borsod-Abaúj-Zemplén;Sajóivánka
3773;Borsod-Abaúj-Zemplén;Sajókápolna
3720;Borsod-Abaúj-Zemplén;Sajókaza
3791;Borsod-Abaúj-Zemplén;Sajókeresztúr
3572;Borsod-Abaúj-Zemplén;Sajólád
3773;Borsod-Abaúj-Zemplén;Sajólászlófalva
3656;Borsod-Abaúj-Zemplén;Sajómercse
3652;Borsod-Abaúj-Zemplén;Sajónémeti
3586;Borsod-Abaúj-Zemplén;Sajóörös
3714;Borsod-Abaúj-Zemplén;Sajópálfala
3573;Borsod-Abaúj-Zemplén;Sajópetri
3653;Borsod-Abaúj-Zemplén;Sajópüspöki
3712;Borsod-Abaúj-Zemplén;Sajósenye
3770;Borsod-Abaúj-Zemplén;Sajószentpéter
3599;Borsod-Abaúj-Zemplén;Sajószöged
3712;Borsod-Abaúj-Zemplén;Sajóvámos
3656;Borsod-Abaúj-Zemplén;Sajóvelezd
9632;Vas;Sajtoskál
8256;Veszprém;Salföld
3100;Nógrád;Salgótarján
3102;Nógrád;Salgótarján
3104;Nógrád;Salgótarján
3109;Nógrád;Salgótarján
3121;Nógrád;Salgótarján
3141;Nógrád;Salgótarján
9742;Vas;Salköveskút
8995;Zala;Salomvár
3425;Borsod-Abaúj-Zemplén;Sály
7841;Baranya;Sámod
3074;Nógrád;Sámsonháza
8824;Zala;Sand
6762;Csongrád;Sándorfalva
7479;Somogy;Sántos
4176;Hajdú-Bihar;Sáp
4272;Hajdú-Bihar;Sáránd
3942;Borsod-Abaúj-Zemplén;Sárazsadány
7000;Fejér;Sárbogárd
7003;Fejér;Sárbogárd
7018;Fejér;Sárbogárd
7019;Fejér;Sárbogárd
7014;Fejér;Sáregres
9813;Vas;Sárfimizdó
8944;Zala;Sárhida
2523;Komárom-Esztergom;Sárisáp
5720;Békés;Sarkad
5731;Békés;Sarkadkeresztúr
8051;Fejér;Sárkeresztes
8125;Fejér;Sárkeresztúr
8144;Fejér;Sárkeszi
8391;Zala;Sármellék
7781;Baranya;Sárok
2433;Fejér;Sárosd
3950;Borsod-Abaúj-Zemplén;Sárospatak
3952;Borsod-Abaúj-Zemplén;Sárospatak
7145;Tolna;Sárpilis
4171;Hajdú-Bihar;Sárrétudvari
9434;Győr-Moson-Sopron;Sarród
9435;Győr-Moson-Sopron;Sarród
8126;Fejér;Sárszentágota
7047;Tolna;Sárszentlőrinc
8141;Fejér;Sárszentmihály
8143;Fejér;Sárszentmihály
3386;Heves;Sarud
9600;Vas;Sárvár
9608;Vas;Sárvár
9609;Vas;Sárvár
7370;Baranya;Sásd
8308;Veszprém;Sáska
3659;Borsod-Abaúj-Zemplén;Sáta
3944;Borsod-Abaúj-Zemplén;Sátoraljaújhely
3945;Borsod-Abaúj-Zemplén;Sátoraljaújhely
3980;Borsod-Abaúj-Zemplén;Sátoraljaújhely
3988;Borsod-Abaúj-Zemplén;Sátoraljaújhely
7785;Baranya;Sátorhely
8732;Somogy;Sávoly
9789;Vas;Sé
7562;Somogy;Segesd
7960;Baranya;Sellye
3809;Borsod-Abaúj-Zemplén;Selyeb
3974;Borsod-Abaúj-Zemplén;Semjén
8862;Zala;Semjénháza
8788;Zala;Sénye
4533;Szabolcs-Szatmár-Bereg;Sényő
8111;Fejér;Seregélyes
3729;Borsod-Abaúj-Zemplén;Serényfalva
8660;Somogy;Sérsekszőlős
8439;Győr-Moson-Sopron;Sikátor
7800;Baranya;Siklós
7818;Baranya;Siklós
7814;Baranya;Siklósbodony
7823;Baranya;Siklósnagyfalu
3881;Borsod-Abaúj-Zemplén;Sima
9633;Vas;Simaság
7474;Somogy;Simonfa
7081;Tolna;Simontornya
7171;Tolna;Sióagárd
8600;Somogy;Siófok
8609;Somogy;Siófok
8611;Somogy;Siófok
8652;Somogy;Siójut
3332;Heves;Sirok
9671;Vas;Sitke
9315;Győr-Moson-Sopron;Sobor
8897;Zala;Söjtör
9112;Győr-Moson-Sopron;Sokorópátka
6320;Bács-Kiskun;Solt
6223;Bács-Kiskun;Soltszentimre
6230;Bács-Kiskun;Soltvadkert
8193;Veszprém;Sóly
2083;Pest;Solymár
8655;Somogy;Som
7728;Baranya;Somberek
8478;Veszprém;Somlójenő
8483;Veszprém;Somlószőlős
8481;Veszprém;Somlóvásárhely
8484;Veszprém;Somlóvecse
7454;Somogy;Somodor
7283;Somogy;Somogyacsa
7922;Baranya;Somogyapáti
7584;Somogy;Somogyaracs
7452;Somogy;Somogyaszaló
8684;Somogy;Somogybabod
8858;Somogy;Somogybükkösd
8726;Somogy;Somogycsicsó
7284;Somogy;Somogydöröcske
8666;Somogy;Somogyegres
8708;Somogy;Somogyfajsz
7455;Somogy;Somogygeszti
7925;Baranya;Somogyhárságy
7921;Baranya;Somogyhatvan
7443;Somogy;Somogyjád
8673;Somogy;Somogymeggyes
8733;Somogy;Somogysámson
7435;Somogy;Somogysárd
8737;Somogy;Somogysimonyi
8705;Somogy;Somogyszentpál
7276;Somogy;Somogyszil
7563;Somogy;Somogyszob
8683;Somogy;Somogytúr
7515;Somogy;Somogyudvarhely
8699;Somogy;Somogyvámos
8698;Somogy;Somogyvár
7924;Baranya;Somogyviszló
8734;Somogy;Somogyzsitfa
4954;Szabolcs-Szatmár-Bereg;Sonkád
8123;Fejér;Soponya
9400;Győr-Moson-Sopron;Sopron
9407;Győr-Moson-Sopron;Sopron
9408;Győr-Moson-Sopron;Sopron
9494;Győr-Moson-Sopron;Sopron
9463;Győr-Moson-Sopron;Sopronhorpács
9483;Győr-Moson-Sopron;Sopronkövesd
9325;Győr-Moson-Sopron;Sopronnémeti
9743;Vas;Söpte
8072;Fejér;Söréd
9774;Vas;Sorkifalud
9774;Vas;Sorkikápolna
8881;Zala;Sormás
9773;Vas;Sorokpolány
3131;Nógrád;Sóshartyán
2038;Pest;Sóskút
3716;Borsod-Abaúj-Zemplén;Sóstófalva
7960;Baranya;Sósvertike
9681;Vas;Sótony
8096;Fejér;Sukoró
6346;Bács-Kiskun;Sükösd
2241;Pest;Sülysáp
2242;Pest;Sülysáp
8330;Veszprém;Sümeg
8357;Zala;Sümegcsehi
8351;Veszprém;Sümegprága
7960;Baranya;Sumony
2889;Komárom-Esztergom;Súr
8856;Zala;Surd
2543;Komárom-Esztergom;Süttő
8151;Fejér;Szabadbattyán
2432;Fejér;Szabadegyháza
8138;Fejér;Szabadhidvég
8139;Fejér;Szabadhidvég
7253;Somogy;Szabadi
5712;Békés;Szabadkígyós
6080;Bács-Kiskun;Szabadszállás
7951;Baranya;Szabadszentkirály
7544;Somogy;Szabás
4467;Szabolcs-Szatmár-Bereg;Szabolcs
4547;Szabolcs-Szatmár-Bereg;Szabolcsbáka
4496;Szabolcs-Szatmár-Bereg;Szabolcsveresmart
2111;Pest;Szada
7383;Baranya;Szágy
7753;Baranya;Szajk
3334;Heves;Szajla
5081;Jász-Nagykun-Szolnok;Szajol
3786;Borsod-Abaúj-Zemplén;Szakácsi
7071;Tolna;Szakadát
3596;Borsod-Abaúj-Zemplén;Szakáld
7192;Tolna;Szakály
7213;Tolna;Szakcs
6336;Bács-Kiskun;Szakmár
9934;Vas;Szaknyér
4234;Szabolcs-Szatmár-Bereg;Szakoly
